[2025-12-07 01:02:25] - [train_utils.py:68] - [INFO]: Train Loss: 1.06066 | Train Accuracy: 82.46%
[2025-12-07 01:02:26] - [train_utils.py:68] - [INFO]: Train Loss: 0.36188 | Train Accuracy: 99.27%
[2025-12-07 01:02:27] - [train_utils.py:68] - [INFO]: Train Loss: 0.16835 | Train Accuracy: 99.45%
[2025-12-07 01:02:28] - [train_utils.py:68] - [INFO]: Train Loss: 0.09447 | Train Accuracy: 99.86%
[2025-12-07 01:02:29] - [train_utils.py:68] - [INFO]: Train Loss: 0.07472 | Train Accuracy: 99.82%
[2025-12-07 01:02:30] - [train_utils.py:68] - [INFO]: Train Loss: 0.05544 | Train Accuracy: 99.86%
[2025-12-07 01:02:30] - [train_utils.py:68] - [INFO]: Train Loss: 0.03884 | Train Accuracy: 99.91%
[2025-12-07 01:02:31] - [train_utils.py:68] - [INFO]: Train Loss: 0.03276 | Train Accuracy: 100.00%
[2025-12-07 01:02:32] - [train_utils.py:68] - [INFO]: Train Loss: 0.02573 | Train Accuracy: 99.95%
[2025-12-07 01:02:32] - [train_utils.py:68] - [INFO]: Train Loss: 0.02243 | Train Accuracy: 100.00%
[2025-12-07 01:02:33] - [train_utils.py:68] - [INFO]: Train Loss: 0.02022 | Train Accuracy: 99.86%
[2025-12-07 01:02:33] - [train_utils.py:68] - [INFO]: Train Loss: 0.01509 | Train Accuracy: 99.91%
[2025-12-07 01:02:34] - [train_utils.py:68] - [INFO]: Train Loss: 0.01278 | Train Accuracy: 99.95%
[2025-12-07 01:02:35] - [train_utils.py:68] - [INFO]: Train Loss: 0.01567 | Train Accuracy: 100.00%
[2025-12-07 01:02:35] - [train_utils.py:68] - [INFO]: Train Loss: 0.01703 | Train Accuracy: 99.91%
[2025-12-07 01:02:36] - [train_utils.py:68] - [INFO]: Train Loss: 0.01173 | Train Accuracy: 100.00%
[2025-12-07 01:02:36] - [train_utils.py:68] - [INFO]: Train Loss: 0.01482 | Train Accuracy: 100.00%
[2025-12-07 01:02:37] - [train_utils.py:68] - [INFO]: Train Loss: 0.01207 | Train Accuracy: 99.91%
[2025-12-07 01:02:38] - [train_utils.py:68] - [INFO]: Train Loss: 0.00893 | Train Accuracy: 100.00%
[2025-12-07 01:02:38] - [train_utils.py:68] - [INFO]: Train Loss: 0.00688 | Train Accuracy: 100.00%
[2025-12-07 01:02:39] - [train_utils.py:68] - [INFO]: Train Loss: 0.00664 | Train Accuracy: 100.00%
[2025-12-07 01:02:39] - [train_utils.py:68] - [INFO]: Train Loss: 0.00649 | Train Accuracy: 100.00%
[2025-12-07 01:02:40] - [train_utils.py:68] - [INFO]: Train Loss: 0.00649 | Train Accuracy: 99.91%
[2025-12-07 01:02:41] - [train_utils.py:68] - [INFO]: Train Loss: 0.00427 | Train Accuracy: 100.00%
[2025-12-07 01:02:41] - [train_utils.py:68] - [INFO]: Train Loss: 0.00418 | Train Accuracy: 100.00%
[2025-12-07 01:02:42] - [train_utils.py:68] - [INFO]: Train Loss: 0.00372 | Train Accuracy: 100.00%
[2025-12-07 01:02:43] - [train_utils.py:68] - [INFO]: Train Loss: 0.00409 | Train Accuracy: 100.00%
[2025-12-07 01:02:43] - [train_utils.py:68] - [INFO]: Train Loss: 0.00351 | Train Accuracy: 100.00%
[2025-12-07 01:02:44] - [train_utils.py:68] - [INFO]: Train Loss: 0.00584 | Train Accuracy: 99.91%
[2025-12-07 01:02:44] - [train_utils.py:68] - [INFO]: Train Loss: 0.00385 | Train Accuracy: 99.95%
[2025-12-07 01:02:45] - [train_utils.py:68] - [INFO]: Train Loss: 0.00513 | Train Accuracy: 99.95%
[2025-12-07 01:02:46] - [train_utils.py:68] - [INFO]: Train Loss: 0.00776 | Train Accuracy: 100.00%
[2025-12-07 01:02:46] - [train_utils.py:68] - [INFO]: Train Loss: 0.00382 | Train Accuracy: 100.00%
[2025-12-07 01:02:47] - [train_utils.py:68] - [INFO]: Train Loss: 0.00316 | Train Accuracy: 100.00%
[2025-12-07 01:02:48] - [train_utils.py:68] - [INFO]: Train Loss: 0.00251 | Train Accuracy: 100.00%
[2025-12-07 01:02:49] - [train_utils.py:68] - [INFO]: Train Loss: 0.00213 | Train Accuracy: 100.00%
[2025-12-07 01:02:49] - [train_utils.py:68] - [INFO]: Train Loss: 0.00248 | Train Accuracy: 100.00%
[2025-12-07 01:02:50] - [train_utils.py:68] - [INFO]: Train Loss: 0.00206 | Train Accuracy: 100.00%
[2025-12-07 01:02:51] - [train_utils.py:68] - [INFO]: Train Loss: 0.00207 | Train Accuracy: 100.00%
[2025-12-07 01:02:51] - [train_utils.py:68] - [INFO]: Train Loss: 0.00163 | Train Accuracy: 100.00%
