[2025-11-20 00:28:09] - [train_utils.py:72] - [INFO]: Train Loss: 1.21316 | Train Accuracy: 59.28%
[2025-11-20 00:28:13] - [train_utils.py:72] - [INFO]: Train Loss: 0.57649 | Train Accuracy: 83.92%
[2025-11-20 00:28:17] - [train_utils.py:72] - [INFO]: Train Loss: 0.37602 | Train Accuracy: 90.29%
[2025-11-20 00:28:20] - [train_utils.py:72] - [INFO]: Train Loss: 0.26041 | Train Accuracy: 93.63%
[2025-11-20 00:28:24] - [train_utils.py:72] - [INFO]: Train Loss: 0.16797 | Train Accuracy: 97.02%
[2025-11-20 00:28:28] - [train_utils.py:72] - [INFO]: Train Loss: 0.11782 | Train Accuracy: 98.53%
[2025-11-20 00:28:32] - [train_utils.py:72] - [INFO]: Train Loss: 0.08254 | Train Accuracy: 99.04%
[2025-11-20 00:28:36] - [train_utils.py:72] - [INFO]: Train Loss: 0.05012 | Train Accuracy: 99.63%
[2025-11-20 00:28:40] - [train_utils.py:72] - [INFO]: Train Loss: 0.06664 | Train Accuracy: 98.90%
[2025-11-20 00:28:43] - [train_utils.py:72] - [INFO]: Train Loss: 0.03138 | Train Accuracy: 99.86%
[2025-11-20 00:28:47] - [train_utils.py:72] - [INFO]: Train Loss: 0.02137 | Train Accuracy: 100.00%
[2025-11-20 00:28:51] - [train_utils.py:72] - [INFO]: Train Loss: 0.01903 | Train Accuracy: 99.91%
[2025-11-20 00:28:55] - [train_utils.py:72] - [INFO]: Train Loss: 0.01630 | Train Accuracy: 100.00%
[2025-11-20 00:28:59] - [train_utils.py:72] - [INFO]: Train Loss: 0.01638 | Train Accuracy: 100.00%
[2025-11-20 00:29:02] - [train_utils.py:72] - [INFO]: Train Loss: 0.01614 | Train Accuracy: 100.00%
[2025-11-20 00:29:06] - [train_utils.py:72] - [INFO]: Train Loss: 0.01599 | Train Accuracy: 100.00%
[2025-11-20 00:29:10] - [train_utils.py:72] - [INFO]: Train Loss: 0.01502 | Train Accuracy: 100.00%
[2025-11-20 00:29:14] - [train_utils.py:72] - [INFO]: Train Loss: 0.01587 | Train Accuracy: 100.00%
[2025-11-20 00:29:17] - [train_utils.py:72] - [INFO]: Train Loss: 0.01365 | Train Accuracy: 100.00%
[2025-11-20 00:29:21] - [train_utils.py:72] - [INFO]: Train Loss: 0.01640 | Train Accuracy: 100.00%
[2025-11-20 00:29:25] - [train_utils.py:72] - [INFO]: Train Loss: 0.01484 | Train Accuracy: 100.00%
[2025-11-20 00:29:29] - [train_utils.py:72] - [INFO]: Train Loss: 0.01295 | Train Accuracy: 100.00%
[2025-11-20 00:29:33] - [train_utils.py:72] - [INFO]: Train Loss: 0.01404 | Train Accuracy: 100.00%
[2025-11-20 00:29:36] - [train_utils.py:72] - [INFO]: Train Loss: 0.01464 | Train Accuracy: 100.00%
[2025-11-20 00:29:40] - [train_utils.py:72] - [INFO]: Train Loss: 0.01273 | Train Accuracy: 100.00%
[2025-11-20 00:29:44] - [train_utils.py:72] - [INFO]: Train Loss: 0.01453 | Train Accuracy: 100.00%
[2025-11-20 00:29:48] - [train_utils.py:72] - [INFO]: Train Loss: 0.01577 | Train Accuracy: 100.00%
[2025-11-20 00:29:52] - [train_utils.py:72] - [INFO]: Train Loss: 0.01298 | Train Accuracy: 100.00%
[2025-11-20 00:29:56] - [train_utils.py:72] - [INFO]: Train Loss: 0.01665 | Train Accuracy: 99.95%
[2025-11-20 00:30:00] - [train_utils.py:72] - [INFO]: Train Loss: 0.01445 | Train Accuracy: 100.00%
[2025-11-20 00:30:04] - [train_utils.py:72] - [INFO]: Train Loss: 0.01436 | Train Accuracy: 100.00%
[2025-11-20 00:30:07] - [train_utils.py:72] - [INFO]: Train Loss: 0.01519 | Train Accuracy: 100.00%
[2025-11-20 00:30:11] - [train_utils.py:72] - [INFO]: Train Loss: 0.01370 | Train Accuracy: 100.00%
[2025-11-20 00:30:15] - [train_utils.py:72] - [INFO]: Train Loss: 0.01293 | Train Accuracy: 100.00%
[2025-11-20 00:30:19] - [train_utils.py:72] - [INFO]: Train Loss: 0.01344 | Train Accuracy: 100.00%
[2025-11-20 00:30:23] - [train_utils.py:72] - [INFO]: Train Loss: 0.01491 | Train Accuracy: 100.00%
[2025-11-20 00:30:26] - [train_utils.py:72] - [INFO]: Train Loss: 0.01524 | Train Accuracy: 100.00%
[2025-11-20 00:30:30] - [train_utils.py:72] - [INFO]: Train Loss: 0.01576 | Train Accuracy: 99.95%
[2025-11-20 00:30:34] - [train_utils.py:72] - [INFO]: Train Loss: 0.01643 | Train Accuracy: 100.00%
[2025-11-20 00:30:37] - [train_utils.py:72] - [INFO]: Train Loss: 0.01401 | Train Accuracy: 100.00%
